message_id,gateway_id,received_at,rx_lat,rx_lng,rssi,snr,tx_count,satellites_used,gps_lat,gps_lng
4013,eui-a84041ffff2277f8,2024-12-17T15:56:42.190498359+01:00,51.9964618082499,4.37768161296845,-117,-8.0,9269,0,4.309999942779541,52.0
4013,eui-a840411ecd644150,2024-12-17T15:56:42.200191635+01:00,51.98687557914596,4.367481172084809,-135,-16.8,9269,0,4.309999942779541,52.0
4013,eui-0000024b080604ba,2024-12-17T15:56:42.246472825+01:00,52.05966806958092,4.469394385814668,-103,-7.5,9269,0,4.309999942779541,52.0
4444,eui-a84041ffff2277f8,2024-12-17T19:17:47.775272059+01:00,51.9964618082499,4.37768161296845,-115,-2.8,10389,0,4.309999942779541,52.0
4444,eui-a840411ecd644150,2024-12-17T19:17:47.774813459+01:00,51.98687557914596,4.367481172084809,-132,-15.0,10389,0,4.309999942779541,52.0
4444,eui-0000024b080604ba,2024-12-17T19:17:47.720028419+01:00,52.05966806958092,4.469394385814668,-99,-1.25,10389,0,4.309999942779541,52.0
4447,eui-a84041ffff2277f8,2024-12-17T19:18:30.377158303+01:00,51.9964618082499,4.37768161296845,-113,-3.0,10393,0,4.309999942779541,52.0
4447,packetbroker,2024-12-17T19:18:30.383827995+01:00,51.9592895500121,4.46556134394522,-114,-18.5,10393,0,4.309999942779541,52.0
4447,eui-a840411ecd644150,2024-12-17T19:18:30.380584686+01:00,51.98687557914596,4.367481172084809,-134,-15.2,10393,0,4.309999942779541,52.0
4603,eui-a84041ffff2277f8,2024-12-17T20:40:32.316831967+01:00,51.9964618082499,4.37768161296845,-114,0.8,10852,0,4.309999942779541,52.0
4603,packetbroker,2024-12-17T20:40:32.326624511+01:00,51.91073487293693,4.2620191885886625,-121,-15.25,10852,0,4.309999942779541,52.0
4603,eui-a840411ecd644150,2024-12-17T20:40:32.312693724+01:00,51.98687557914596,4.367481172084809,-134,-14.8,10852,0,4.309999942779541,52.0
4603,eui-0000024b080604ba,2024-12-17T20:40:32.478860634+01:00,52.05966806958092,4.469394385814668,-108,0.5,10852,0,4.309999942779541,52.0
